Unnamed: 0.1,Unnamed: 0,ISBN,ID,title,authors,description,avg_rating,age,no_synset,synset,emotion_vector,lang,desc_length,genre_inferred
17805,17805,9780425048696,3821637,Adventures of Sherlock Holmes,[Arthur Conan Doyle],"<i>The Adventures of Sherlock Holmes</i> is the series of short stories that made the fortunes of the Strand magazine, in which they were first published, and won immense popularity for Sherlock Holmes and Dr Watson. The detective is at the height of his powers and the volume is full of famous cases, including 'The Red-Headed League', 'The Blue Carbuncle', and 'The Speckled Band'. Although Holmes gained a reputation for infallibility, Conan Doyle showed his own realism and feminism by having the great detective defeated by Irene Adler - the woman - in the very first story, 'A Scandal in Bohemia'. <br />The editor of this volume, Richard Lancelyn Green is editor of <i>The Uncollected Sherlock Holmes</i> and <i>The Further Adventures of Sherlock Holmes</i>. With John Michael Gibson, he compiled the Soho Series Bibliography of A. Conan Doyle.",4.3,19.0,,,"{'Anger': 0.024259005927952576, 'Anticipation': 0.11828545371637028, 'Disgust': 0.022799817601459188, 'Fear': 0.07843137254901962, 'Joy': 0.2478796169630643, 'Sadness': 0.12567259461924304, 'Surprise': 0.0, 'Trust': 0.382672138622891}",en,851,fiction
18132,18132,9780449215722,1523559,Nine Coaches Waiting,[Mary  Stewart],"A governess in a French chateau encounters an apparent plot against her young charge's life in this unforgettably haunting and beautifully written suspense novel. <br />When lovely Linda Martin first arrives at Chateau Valmy as an English governess to the nine-year-old Count Philippe de Valmy, the opulence and history surrounding her seems like a wondrous, ecstatic dream. But a palpable terror is crouching in the shadows. Philippe's uncle, Leon de Valmy, is the epitome of charm, yet dynamic and arrogant, his paralysis little hindrance as he moves noiselessly in his wheelchair from room to room. Only his son Raoul, a handsome, sardonic man who drives himself and his car with equally reckless abandon, seems able to stand up to him. To Linda, Raoul is an enigma, though irresistibly attracted to him, she senses some dark twist in his nature. When an accident deep in the woods nearly kills Linda's innocent charge, she begins to wonder if someone has deadly plans for the young count.",4.03,16.0,,,"{'Anger': 0.09165664823274827, 'Anticipation': 0.14315941332050974, 'Disgust': 0.033253185861986057, 'Fear': 0.18312094253426306, 'Joy': 0.1562635248857899, 'Sadness': 0.12805962971868237, 'Surprise': 0.12320269295503727, 'Trust': 0.14128396249098343}",en,992,fiction
6579,6579,9780440435747,13497943,The High King (The Chronicles of Prydain #5),[Lloyd Alexander],"When the sword of Dyrnwyn, the most powerful weapon inthe kingdom of Prydain, falls into the hands of Arawn-Death-Lord, Taran, Assistant Pig-Keeper, and Prince Gwydion raise an army to march against Arawn's terrible cohorts. After a winter expedition filled with danger, Taran's army arrives at Mount Dragon, Arawn's stronghold. There, in a thrilling confrontation with Arawn and the evil enchantress Achren, Taran is forced to make the most crucial decision of his life.",4.25,16.0,,,"{'Anger': 0.11969186699183215, 'Anticipation': 0.13699531606859444, 'Disgust': 0.10614330507490419, 'Fear': 0.22440289552123252, 'Joy': 0.09356249758061395, 'Sadness': 0.12782100414198894, 'Surprise': 0.05562652421321565, 'Trust': 0.13575659040761814}",en,471,fiction
1131,1131,9780451190574,228201,"Coffey on the Mile (The Green Mile, #6)",[Stephen King],"Cold Mountain Penitentiary has seen its share of death through the years. Now it's John Coffey's turn to take that final walk down the Green Mile. Yet prison guard Paul Edgecombe has uncovered a devastating truth, which means he could be too late to save both himself and Coffey. You see, death by execution may be the easy way out. It's living with the consequences that may last an eternity . . .<br /><br />Nothing you have ever read can prepare you for Stephen King's boldest exercise in terror, a multi-part serial novel that begins on Death Row and burrows inward to the most horrific secrets of the heart. Brace yourself as the most exciting story imaginable concludes with a rush of wonder and amazement. (back cover)",4.57,17.0,,,"{'Anger': 0.1303034055727554, 'Anticipation': 0.11881114551083591, 'Disgust': 0.09188854489164089, 'Fear': 0.17639628482972136, 'Joy': 0.09245820433436532, 'Sadness': 0.16089164086687308, 'Surprise': 0.10580804953560373, 'Trust': 0.12344272445820434}",en,725,fiction
8857,8857,9780679731726,274186,The Remains of the Day,[Kazuo Ishiguro],"An alternate cover for this ISBN can be found <a href=""https://www.goodreads.com/book/show/12073240-the-remains-of-the-day"" rel=""nofollow"">here</a>.<br /><br /><i>The Remains of the Day</i> is a profoundly compelling portrait of the perfect English butler and of his fading, insular world postwar England. At the end of his three decades of service at Darlington Hall, Stevens embarks on a country drive, during which he looks back over his career to reassure himself that he has served humanity by serving “a great gentleman.” But lurking in his memory are doubts about the true nature of Lord Darlington’s “greatness” and graver doubts about his own faith in the man he served.",4.12,19.0,,,"{'Anger': 0.00662812015230574, 'Anticipation': 0.09951581817327129, 'Disgust': 0.06172143092182579, 'Fear': 0.1001739293940676, 'Joy': 0.1924505241385794, 'Sadness': 0.04042683213463075, 'Surprise': 0.03196540215296385, 'Trust': 0.46711794293235553}",en,679,nonfiction
5059,5059,9780440204473,1133452,Final Flight (Jake Grafton #3),[Stephen Coonts],"The most daring -- and deadly -- terrorist plot of all time is about to unfold aboard the supercarrier <i>USS United States</i>. If it succeeds, the balance of nuclear power will tilt in favor of a remorseless Arab leader. And it looks as if no one can stop it - except navy ""jet jock"" Jake Grafton. ""Cag "" Grafton is one helluva pilot. His F-14 Tomcat is one helluva plane. But some of Jake's crewmates have already vanished. A woman reporter who boarded the ship in Tangiers may not be who she claims to be. And Jake may have to disobey a direct order from the President himself for one spine-tingling, hair-raising <i>Final Flight</i>",4.04,17.0,,,"{'Anger': 0.13002658690594882, 'Anticipation': 0.14020438683948155, 'Disgust': 0.10219341974077768, 'Fear': 0.16770521768029245, 'Joy': 0.06621801262878033, 'Sadness': 0.10967098703888335, 'Surprise': 0.07369557992688601, 'Trust': 0.21028580923894982}",en,637,nonfiction
13210,13210,9780916766467,1756746,Understanding Yourself: A Spiritual Approach to Self-Discovery and Soul Awareness,[Mark L. Prophet],"<i>Understanding Yourself</i> reaches beyond the boundaries of the outer personality into the infinite world of the psyche. This insightful work offers unique spiritual perspectives on how to master the components of being--the ego, karma, and the Self beyond the self. Most importantly, it helps us listen to the voice of the soul and bring its universal wisdom to play in our lives. In this guidebook to self-discovery, you will about energy levels and the potential of the Self, keys to identifying with your real self, controlling moods and spiritualizing your consciousness, the memory of the soul, educating the heart and more.",4.17,18.0,,,"{'Anger': 0.08334617162224617, 'Anticipation': 0.037898628870744105, 'Disgust': 0.006624557079032506, 'Fear': 0.0156370358958558, 'Joy': 0.2828531813279926, 'Sadness': 0.013249114158065012, 'Surprise': 0.033739023262979506, 'Trust': 0.5266522877830843}",en,633,nonfiction
1908,1908,9788484502074,26019000,Las cenizas de Ángela,[Frank McCourt],"Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.<br /><br />""When I look back on my childhood I wonder how I managed to survive at all. It was, of course, a miserable childhood: the happy childhood is hardly worth your while. Worse than the ordinary miserable childhood is the miserable Irish childhood, and worse yet is the miserable Irish Catholic childhood."" <br /><br />So begins the Pulitzer Prize winning memoir of Frank McCourt, born in Depression-era Brooklyn to recent Irish immigrants and raised in the slums of Limerick, Ireland. Frank's mother, Angela, has no money to feed the children since Frank's father, Malachy, rarely works, and when he does he drinks his wages. Yet Malachy-- exasperating, irresponsible and beguiling-- does nurture in Frank an appetite for the one thing he can provide: a story. Frank lives for his father's tales of Cuchulain, who saved Ireland, and of the Angel on the Seventh Step, who brings his mother babies. <br /><br />Perhaps it is story that accounts for Frank's survival. Wearing rags for diapers, begging a pig's head for Christmas dinner and gathering coal from the roadside to light a fire, Frank endures poverty, near-starvation and the casual cruelty of relatives and neighbors--yet lives to tell his tale with eloquence, exuberance and remarkable forgiveness. <br /><br />Angela's Ashes, imbued on every page with Frank McCourt's astounding humor and compassion, is a glorious book that bears all the marks of a classic.",4.11,19.0,,,"{'Anger': 0.07613262826925826, 'Anticipation': 0.0848649421180506, 'Disgust': 0.08842361011862228, 'Fear': 0.07729026725739602, 'Joy': 0.23695869658425042, 'Sadness': 0.1403029869944262, 'Surprise': 0.06407031584964985, 'Trust': 0.23195655280834646}",en,1564,fiction
16433,16433,9780553572254,1934421,House of Many Rooms,[Marius Gabriel],"No one is surprised when Michael Florio is suspected of setting the fire that killed his wealthy, estranged wife, Barbara. Michael arrived at the Pacific Heights mansion just in time to save his two daughters--but not Barbara. Handsome, charismatic, and feared, Michael has a past shrouded by violence. Now he has only one concern: to protect his daughters--one of whom has all but confessed to murder.<br /><br />It is a concern shared by Dr. Rebecca Carey. Thirteen years ago, Rebecca gave Therese Florio up for adoption. Now she is determined to save her daughter--innocent or guilty. Tracking the family to Michael's hideaway in the Italian countryside, Rebecca must watch every move she makes. She dares trust no one. Torn between her mission to save her troubled daughter and her growing attraction to a dangerously seductive man, Rebecca learns that what she feared most is true: You can never turn back.",4.16,19.0,,,"{'Anger': 0.08518356881784955, 'Anticipation': 0.12487043805575254, 'Disgust': 0.026512465222846546, 'Fear': 0.17560416780317495, 'Joy': 0.1455185205389777, 'Sadness': 0.13550815558343793, 'Surprise': 0.04047787900278217, 'Trust': 0.2663248049751787}",en,911,nonfiction
654,654,9781577311522,1369698,The Power of Now: A Guide to Spiritual Enlightenment,[Eckhart Tolle],"Eckhart Tolle is emerging as one of today's most inspiring teachers. In The<br />Power of Now, a #1 national bestseller, the author describes his transition<br />from despair to self-realization soon after his 29th birthday. Tolle took<br />another ten years to understand this transformation, during which time he<br />evolved a philosophy that has parallels in Buddhism, relaxation techniques,<br />and meditation theory but is also eminently practical. In The Power of Now<br />he shows readers how to recognize themselves as the creators of their own<br />pain, and how to have a pain-free existence by living fully in the present.<br />Accessing the deepest self, the true self, can be learned, he says, by<br />freeing ourselves from the conflicting, unreasonable demands of the mind and<br />living present, fully, and intensely, in the Now.",4.14,18.0,,,"{'Anger': 0.05324440841593279, 'Anticipation': 0.1523269096134714, 'Disgust': 0.01956593831755039, 'Fear': 0.08368031246545561, 'Joy': 0.20601348612697593, 'Sadness': 0.10998931427097534, 'Surprise': 0.05667121117211393, 'Trust': 0.3185084196175245}",en,848,nonfiction
5344,5344,9788495501660,978952,Lestat El Vampiro,[Anne Rice],"After over a half century underground, Lestat awakens in the 1980s to a cacophony of the electronic sounds and images that characterize the MTV generation. Particularly, he is captivated by a fledgling rock band named Satan's Night Out. Determined both to achieve international fame and end the centuries of self-imposed vampire silence, Lestat takes command of the band (now renamed ""The Vampire Lestat"") and pens his autobiography.",4.07,18.5,,,"{'Anger': 0.12130998923451752, 'Anticipation': 0.13060230041362114, 'Disgust': 0.07615162332143463, 'Fear': 0.14788373278939315, 'Joy': 0.106691597257635, 'Sadness': 0.06986231514533402, 'Surprise': 0.07751147373788882, 'Trust': 0.2699869681001756}",en,433,nonfiction
8746,8746,9780446612791,228361,"2nd Chance (Women's Murder Club, #2)","[James Patterson, Andrew Gross]","The Women's Murder Club is back! A brialliantly diabolical killer is murdering people from every walk of life. The deaths seem unrelated but police homicide inspector Lindsay Boxer senses a connection and, together with medical examiner Claire, assistant D.A. Jill, and <i>Chronicle</i> reporter Cindy, finds a link that sends a chill through the entire nation. This killer's motives are unspeakable.",4.04,17.166666666666668,,,"{'Anger': 0.1722975142912197, 'Anticipation': 0.026848224034941227, 'Disgust': 0.16080030830496497, 'Fear': 0.22425974693300788, 'Joy': 0.035679876678014, 'Sadness': 0.1588734022737491, 'Surprise': 0.11137516860427771, 'Trust': 0.10986575887982529}",en,400,nonfiction
15721,15721,9780879304263,3065488,Jaco: The Extraordinary and Tragic Life of Jaco Pastorius,"[Bill Milkowski, Jim Roberts, Bob Moses]","Like his heroes Charlie Parker and Jimi Hendrix, Jaco didn't make it to age 40. But by the time he died at 35, he had reinvented the role of the electric bass and had become one of the most potent forces in modern music. This biography chronicles his entire career, including his rise to global stardom with Weather Report, his solo career, an his slow professional and personal decline.",4.09,18.0,,,"{'Anger': 0.07510742978140374, 'Anticipation': 0.18976147474621655, 'Disgust': 0.04234913122002864, 'Fear': 0.0661393784642212, 'Joy': 0.20726163044155196, 'Sadness': 0.11291025720869402, 'Surprise': 0.05742043968362706, 'Trust': 0.2490502584542567}",en,387,nonfiction
2676,2676,9780425051818,7683125,Theory/practice Hell,[Eugen Kogon],"By the spring of 1945, the Second World War was drawing to a close in Europe. Allied troops were sweeping through Nazi Germany and discovering the atrocities of SS concentration camps. The first to be reached intact was Buchenwald, in central Germany. American soldiers struggled to make sense of the shocking scenes they witnessed inside. They asked a small group of former inmates to draft a report on the camp. It was led by Eugen Kogon, a German political prisoner who had been an inmate since 1939. <i>The Theory and Practice of Hell</i> is his classic account of life inside.<br /><br />Unlike many other books by survivors who published immediately after the war, <i>The Theory and Practice of Hell</i> is more than a personal account. It is a horrific examination of life and death inside a Nazi concentration camp, a brutal world of a state within state, and a society without law. But Kogon maintains a dispassionate and critical perspective. He tries to understand how the camp works, to uncover its structure and social organization. He knew that the book would shock some readers and provide others with gruesome fascination. But he firmly believed that he had to show the camp in honest, unflinching detail.<br /><br />The result is a unique historical document—a complete picture of the society, morality, and politics that fueled the systematic torture of six million human beings. For many years, <i>The Theory and Practice of Hell</i> remained the seminal work on the concentration camps, particularly in Germany. Reissued with an introduction by Nikolaus Waschmann, a leading Holocaust scholar and author of Hilter's Prisons, this important work now demands to be re-read.",4.21,16.0,,,"{'Anger': 0.14164503761478767, 'Anticipation': 0.07615182935666198, 'Disgust': 0.12715247493445408, 'Fear': 0.19077482510111857, 'Joy': 0.07534815088075256, 'Sadness': 0.11459664563049236, 'Surprise': 0.06072383763059774, 'Trust': 0.21360719885113505}",en,1691,nonfiction
9800,9800,9780740718540,992757,"Big Honkin' Zits (Zits Treasury, #2)","[Jerry Scott, Jim Borgman]","<p>This treasury, <i>Big Honkin' Zits</i>, represents a compilation of <i>Don't Roll Your Eyes at Me, Young Man!</i> and <i>Are We an ""Us""?</i></p><p> With friends and family, Jeremy ponders life's great philosophical questions, such as, ""If the universe is constantly expanding, how come the sky never gets any bigger?"" He tackles serious issues, too, deciding with his buddy, Hector, to shave his head to support a friend's mom who's battling cancer.</p><p><i>Big Honkin' Zits</i> masterfully guides its readers through the real-life joys and heartaches of being a teenager.</p>",4.24,19.0,,,"{'Anger': 0.08498209911437722, 'Anticipation': 0.12954588279630674, 'Disgust': 0.10269455436216318, 'Fear': 0.06797625777275297, 'Joy': 0.19888826078763897, 'Sadness': 0.10302430751837197, 'Surprise': 0.05007537214999057, 'Trust': 0.26281326549839834}",en,580,nonfiction
19224,19224,9780195078534,344645,A Dictionary of Modern American Usage,[Bryan A. Garner],"This book - a detailed explanation and defense of standard American English - contains more than 700 pages of crisp, authoritative guidance on hundreds of questions of grammar and usage. ""A Dictionary of Modern American Usage"" treats all these topics and more: basic grammar, as well as advanced nuances; word preferences and shades of meaning; punctuation; idiomatic phrases; spelling; and effective style. In an age of linguistic uncertainty, this book gives surefooted guidance on the direct, precise, and robust use of the English language. And although the book is scholarly, it is leavened with a dry wit. It is at once entertaining and educational. DMAU is the most up-to-date and comprehensive guide to issues that writers continually confront. It's essential for seasoned and aspiring writers, teachers, scholars and students, professional editors, proofreaders, businesspeople, advertising and public-relations writers, and technical and scientific writers.",4.61,19.0,,,"{'Anger': 0.05469105814483072, 'Anticipation': 0.16839987854865646, 'Disgust': 0.002960376499165022, 'Fear': 0.020494914224988614, 'Joy': 0.19026112038864432, 'Sadness': 0.027250645210262638, 'Surprise': 0.026074085319568847, 'Trust': 0.5098679216638834}",en,967,nonfiction
8008,8008,9781843094364,2712133,The Encyclopedia of Music,"[Max Wade-Matthews, Wendy Thompson]","A comprehensive encyclopedia of musical instruments,covering all sections of the orchestra. An authoritative guide to over 100 of the most famous classical composers. Fully illustrated.Over 1000 photos &amp; illustrations.<br /><br />Previously published as separate volumes, <i>The World Encyclopedia of Musical Instruments</i>, and <i>The Great Composers</i>.",4.32,18.0,,,"{'Anger': 0.017095914742451156, 'Anticipation': 0.15264209591474243, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.22535523978685612, 'Sadness': 0.022091474245115452, 'Surprise': 0.0486234458259325, 'Trust': 0.5341918294849023}",en,361,nonfiction
20797,20797,9780679310495,900265,"The Lion, the Fox and the Eagle",[Carol Off],"In this riveting, original and explosive book, Carol Off explores the failure of peacekeeping missions in Sarajevo and Rwanda, and the international community's attempt to redeem itself by prosecuting the people responsible for the genocides. Events turned on the actions of two Canadian generals: the fox of the title, Lewis MacKenzie, who commanded the UN forces in Bosnia for the first crucial months of the conflict; and the lion, Romeo Dallaire, who developed an interventionary plan that he believed would have prevented the Rwandan genocide but was forced by the UN to stand by while 800,000 people were slaughtered. The eagle is Louise Arbour, a Canadian judge who became Chief Prosecutor for War Crimes in Rwanda and the former Yugoslavia.<br /><br />This is a Greek drama in three acts: all three people made decisions that affected the lives of millions. All three were required, in the absence of proper guidelines, to rely on their own moral compasses. Not only is <i>The Lion, the Fox and the Eagle</i> a hard-hitting behind-the-scenes account of personal testing and horrifying events, it is also a call to arms to reinvent the peacekeepers' mission, to find the will and the means to prevent future genocides.",4.0,16.0,,,"{'Anger': 0.15453371221906484, 'Anticipation': 0.0794885042624645, 'Disgust': 0.05670369413588221, 'Fear': 0.26174115215706534, 'Joy': 0.040661327822268147, 'Sadness': 0.10253164556962026, 'Surprise': 0.04420046499612504, 'Trust': 0.26013949883750964}",en,1225,nonfiction
14407,14407,9780439101332,1410530,A Christmas Carol,"[Charles Dickens, Karen Hesse]",A miser learns the true meaning of Christmas when three ghostly visitors review his past and foretell his future.,4.06,13.0,,,"{'Anger': 0.0783520323707927, 'Anticipation': 0.19532830605113113, 'Disgust': 0.0, 'Fear': 0.23634357182269633, 'Joy': 0.21831892587824167, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.27165716387713806}",en,113,nonfiction
