Unnamed: 0.1,Unnamed: 0,ISBN,ID,title,authors,description,avg_rating,age,no_synset,synset,emotion_vector,lang
157,157,9780007123810,215342,"The Lord of the Rings (The Lord of the Rings, #1-3)",[J.R.R. Tolkien],"<b>One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them</b><br /><br />In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell by chance into the hands of the hobbit Bilbo Baggins.<br /><br />From Sauron's fastness in the Dark Tower of Mordor, his power spread far and wide. Sauron gathered all the Great Rings to him, but always he searched for the One Ring that would complete his dominion.<br /><br />When Bilbo reached his eleventy-first birthday he disappeared, bequeathing to his young cousin Frodo the Ruling Ring and a perilous quest: to journey across Middle-earth, deep into the shadow of the Dark Lord, and destroy the Ring by casting it into the Cracks of Doom.<br /><br />The Lord of the Rings tells of the great quest undertaken by Frodo and the Fellowship of the Ring: Gandalf the Wizard; the hobbits Merry, Pippin, and Sam; Gimli the Dwarf; Legolas the Elf; Boromir of Gondor; and a tall, mysterious stranger called Strider.",4.5,16.0,,,"{'Anger': 0.06921358819862873, 'Anticipation': 0.21712029918969458, 'Disgust': 0.02680241013920632, 'Fear': 0.17489092042385207, 'Joy': 0.1253376272595055, 'Sadness': 0.15375025971327655, 'Surprise': 0.0639154373571577, 'Trust': 0.1689694577186786}",en
173,173,9781590071212,168121,Jane Eyre,[Charlotte Brontë],"<p>Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward Adèle. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard.<br /></p><p> But there is a terrifying secret inside the gloomy, forbidding Thornfield Hall. Is Rochester hiding from Jane? Will Jane be left heartbroken and exiled once again?</p>",4.13,17.0,,,"{'Anger': 0.06427338320570139, 'Anticipation': 0.1338143508476827, 'Disgust': 0.036651763976804926, 'Fear': 0.17661900756938603, 'Joy': 0.18981010136780135, 'Sadness': 0.15094506661945023, 'Surprise': 0.03594351732991014, 'Trust': 0.21194280908326327}",en
180,180,9780345416841,491904,Last Sword of Power,[David Gemmell],"BLOOD KING<br />The Goths followed a bloodthirsty new leader, one who sought to open the Gates of Hell: Wotan. His immortal power stemmed from human sacrifice and dark sorcery, and no sword could touch him. He rode the winds on a leather-winged steed, while his armies cut a deadly swath across the northern kingdoms. Even death's icy hand could not stop them. <br />Only Uther Pendragon could save Britannia. To do so he must wield his birthright--Cunobelin's blade, the legendary Sword of Power.<br />But Uther was chained in Hell, the sword lost in swirling Chaos. All hope lay with the warrior known as Revelation, with the magic of the Sipstrassi Stones, and with Anduine, a blind girl possessed of arcane powers. Only if these unlikely allies united could they hope to stop the invincible foe before the world plunged into darkness.",4.02,17.0,,,"{'Anger': 0.1598841009106357, 'Anticipation': 0.0670341161605159, 'Disgust': 0.10350311533266525, 'Fear': 0.2844320508910287, 'Joy': 0.05156638054986711, 'Sadness': 0.17461112805542245, 'Surprise': 0.042198597011023485, 'Trust': 0.11677051108884146}",en
205,205,9780849943720,1067121,Thr3e,[Ted Dekker],"Enter a world where nothing is what it seems. Where your closest friend could be your greatest enemy.<br /><br />Kevin Parson is driving his car late one summer day when, suddenly, his cell phone rings. A man who identifies himself as Slater speaks in a breathy voice: ""You have exactly three minutes to confess your sin to the world. Refuse, and the car you're driving will blow sky high.""<br /><br />Kevin panics. Who would make such a call? What sin? Kevin ditches the car. Precisely three minutes later, a massive explosion sets his world on a collision course with madness.<br /><br />From the #1 best-selling fiction author comes a powerful story of good, evil, and all that lies between.",4.09,16.0,,,"{'Anger': 0.1618672543989594, 'Anticipation': 0.06749286411099469, 'Disgust': 0.10806807096144813, 'Fear': 0.18614734255880339, 'Joy': 0.09737327022437402, 'Sadness': 0.1122954077392781, 'Surprise': 0.07648950392022257, 'Trust': 0.19026628608591972}",en
217,217,9780064405058,43235787,"The Magician's Nephew (Chronicles of Narnia, #1)","[C.S. Lewis, Pauline Baynes]","<i>The secret passage to the house next door leads to a fascinating adventure</i><br /><br />NARNIA...where the woods are thick and cold, where Talking Beasts are called to life...a new world where the adventure begins.<br /><br />Digory and Polly meet and become friends one cold, wet summer in London. Their lives burst into adventure when Digory's Uncle Andrew, who thinks he is a magician, sends them hurtling to...somewhere else. They find their way to Narnia, newborn from the Lion's song, and encounter the evil sorceress Jadis before they finally return home.",4.04,16.0,,,"{'Anger': 0.09588493807431082, 'Anticipation': 0.20795045944866158, 'Disgust': 0.04409708349980024, 'Fear': 0.17518977227327207, 'Joy': 0.21119656412305232, 'Sadness': 0.056232520974830204, 'Surprise': 0.11191570115860967, 'Trust': 0.09753296044746304}",en
222,222,9780330107372,5507,The Diary of Anne Frank,[Anne Frank],"Thirteen-year-old Anne Frank, with her parents and sister and four other people, went into hiding in the sealed-off back rooms of an Amsterdam office building in 1942, when the Nazi invaders intensified their persecution of Jews.<br /><br />For two years they remained safe. In August 1944 they were betrayed, Anne died in the ghastly concentration camp at Belsen. All the others perished too, except her father. <br /><br />Anne's astonishingly intimate diary was found by accident. With a touch of genius it records the strains of her unusual life, the problems of her unfolding womanhood, her falling in love, her unswerving faith in her religion. And it reveals the shining nobility of her spirit.<br /><br />Now known and loved the world over through State, Screen and TV adaptations or in translation, this touchingly human document remains timeless in its appeal<br />--back cover",4.15,16.5,,,"{'Anger': 0.07096149188665536, 'Anticipation': 0.10408089125696296, 'Disgust': 0.06908452409784452, 'Fear': 0.13626180673286512, 'Joy': 0.1535178009203197, 'Sadness': 0.17086461612981352, 'Surprise': 0.07804553160571567, 'Trust': 0.21718333736982323}",en
224,224,9780439042918,125712,"The Hork-Bajir Chronicles (Animorphs Chronicles, #2)","[K.A. Applegate, Katherine Applegate]","Dak Hamee, born into the Hork-Bajir tribe, is something special from the start. ""Strange,"" says his mother. ""A seer,"" says the Old One, Tila Fashat. ""A seer is one who is born to show a new way. Many, many seasons pass, then our father, the Deep, and our mother, the Sky, say, 'Send a seer to the people. The people have need.' And so one is born who is different."" When strange and different Dak meets Aldrea, the clever Andalite daughter of Prince Seerow, they learn together of the dangerous plot of the Yeerks, and of Esplin 9466, who will stop at nothing to build his empire. Learn more about Prince Seerow's Kindness, find out how Andalites kiss, and plumb the mysteries of the Deep in this suspense-filled story of good, evil, and interspecies love.",4.13,13.5,,,"{'Anger': 0.06349561053471667, 'Anticipation': 0.1878371907422187, 'Disgust': 0.024197924980047886, 'Fear': 0.1510614525139665, 'Joy': 0.19869114126097367, 'Sadness': 0.03195530726256983, 'Surprise': 0.10078212290502793, 'Trust': 0.24197924980047886}",en
225,225,9780439221658,3376379,"Circles in the Stream (Avalon: Web of Magic, #1)",[Shelly Roberts],"Emily, the veterinarian's daughter, Adriane, whose grandmother is the caretaker at the Ravenswood Wildlife Preserve, and the mayor's snobbish daughter, Kara, have nothing in common until they learn that a talking ferret needs all three of them to help the magical beasts.",4.09,13.5,,,"{'Anger': 0.1404238197424893, 'Anticipation': 0.08167918454935623, 'Disgust': 0.0, 'Fear': 0.12567060085836912, 'Joy': 0.2646190987124464, 'Sadness': 0.0, 'Surprise': 0.08167918454935623, 'Trust': 0.30592811158798283}",en
226,226,9780439221672,1747049,All That Glitters,[Rachel Roberts],"Emily and Adriane have one thing Kara doesn't--a magic gem. When Kara finally finds a stone of her own, a diamond unicorn horn, no less, it brings more trouble than anyone can handle. For Kara's jewel is the most powerful of all. But with great power comes great danger. If Kara messes up using her magic, there may be no escape for anyone.",4.07,13.5,,,"{'Anger': 0.05889464594127806, 'Anticipation': 0.1990500863557858, 'Disgust': 0.061398963730569946, 'Fear': 0.12858376511226252, 'Joy': 0.33825561312607944, 'Sadness': 0.06208981001727115, 'Surprise': 0.02564766839378238, 'Trust': 0.12607944732297063}",en
227,227,9780439221689,2663511,"Cry of the Wolf (Avalon: Web of Magic, #3)",[Rachel Roberts],"When Adriane's wolf, Storm, is lured back into the magical world, Adriane secretly follows. She is shocked by the things she sees, some wondrous, some terrifying. Her journey leads her one step closer to the source of all magic--Avalon--and to a boy she won't ever forget.",4.26,13.5,,,"{'Anger': 0.0691683750779927, 'Anticipation': 0.11765754523576076, 'Disgust': 0.04385417595151084, 'Fear': 0.17407968624654607, 'Joy': 0.22060789731705144, 'Sadness': 0.04724128710223728, 'Surprise': 0.18174525358766377, 'Trust': 0.1456457794812372}",en
254,254,9780312971342,527790,"High Five (Stephanie Plum, #5)",[Janet Evanovich],"Out of bail skippers and rent money, Stephanie Plum throws caution to the wind and follows in the entrepreneurial bootsteps of Super Bounty Hunter, Ranger, engaging in morally correct and marginally legal enterprises. So, a scumball blows himself to smithereens on her first day of policing a crack house and the sheik she was chauffeuring stole the limo. But hey, nobody's perfect! Anyway, Stephanie has other things on her mind. Her mother wants her to find Uncle Fred who's missing after arguing with his garbage company; homicidal rapist Benito Ramirez is back, quoting scripture and stalking Stephanie; vice cop Joe Morelli has a box of condoms with Stephanie's name on it; and Stephanie's afraid Ranger has his finger on her trigger. The whole gang's here for mirth and mayhem in Janet Evanovich's <i>High Five</i>. Read at your own risk in public places.",4.18,16.285714285714285,,,"{'Anger': 0.12328651685393259, 'Anticipation': 0.1347191011235955, 'Disgust': 0.03839887640449438, 'Fear': 0.21629213483146068, 'Joy': 0.1434269662921348, 'Sadness': 0.09213483146067415, 'Surprise': 0.009662921348314606, 'Trust': 0.24207865168539325}",en
303,303,9780689835711,682765,"The Hound of the Baskervilles (Sherlock Holmes, #5)",[Arthur Conan Doyle],"We owe <i>The Hound of the Baskervilles</i> (1902) to Arthur Conan Doyle's good friend Fletcher ""Bobbles"" Robinson, who took him to visit some scary English moors and prehistoric ruins, and told him marvelous local legends about escaped prisoners and a 17th-century aristocrat who fell afoul of the family dog. Doyle transmogrified the legend: generations ago, a hound of hell tore out the throat of devilish Hugo Baskerville on the moonlit moor. Poor, accursed Baskerville Hall now has another mysterious death: that of Sir Charles Baskerville. Could the culprit somehow be mixed up with secretive servant Barrymore, history-obsessed Dr. Frankland, butterfly-chasing Stapleton, or Selden, the Notting Hill murderer at large? Someone's been signaling with candles from the mansion's windows. Nor can supernatural forces be ruled out. Can Dr. Watson--left alone by Sherlock Holmes to sleuth in fear for much of the novel--save the next Baskerville, Sir Henry, from the hound's fangs?<p> Many Holmes fans prefer Doyle's complete short stories, but their clockwork logic doesn't match the author's boast about this novel: it's ""a real Creeper!"" What distinguishes this particular <i>Hound</i> is its fulfillment of Doyle's great debt to Edgar Allan Poe--it's full of ancient woe, low moans, a Grimpen Mire that sucks ponies to Dostoyevskian deaths, and locals digging up Neolithic skulls without next-of-kins' consent. ""The longer one stays here the more does the spirit of the moor sink into one's soul,"" Watson realizes. ""Rank reeds and lush, slimy water-plants sent an odour of decay ... while a false step plunged us more than once thigh-deep into the dark, quivering mire, which shook for yards in soft undulations around our feet ... it was as if some malignant hand was tugging us down into those obscene depths."" Read on--but, reader, watch your step! <i>--Tim Appelo</i></p>",4.12,16.5,,,"{'Anger': 0.1054705215419501, 'Anticipation': 0.07183956916099771, 'Disgust': 0.15454931972789113, 'Fear': 0.2392715419501134, 'Joy': 0.09288548752834466, 'Sadness': 0.1683531746031746, 'Surprise': 0.04926303854875283, 'Trust': 0.1183673469387755}",en
315,315,9780590484756,883313,"Talking to Dragons (Enchanted Forest Chronicles, #4)",[Patricia C. Wrede],"<b>
  <i>""Mother taught me to be polite to dragons. . . .""</i>
</b><br /><br />Daystar never thought he’d be walking through the Enchanted Forest with a magic sword, a fire-witch, and a baby dragon. He never dreamed his mother, Cimorene, would tell him to leave their home and not to return until his task was complete. Or that he alone held the power to release King Mendanbar and the Enchanted Forest from the wizards’ evil spell. He doesn’t even know who King Mendanbar is.<br /><br />But Daystar learns quickly --- and that’s good, because he’s about to encounter magic and wizards and dragons. Quite a deadly combination.",4.19,15.571428571428571,,,"{'Anger': 0.08626618862954562, 'Anticipation': 0.12771639716104485, 'Disgust': 0.06775444501353625, 'Fear': 0.17355674251847514, 'Joy': 0.2694080632179703, 'Sadness': 0.06833979659032707, 'Surprise': 0.05088900270725104, 'Trust': 0.15606936416184972}",en
316,316,9780874067392,2892652,A Little Princess,[Frances Hodgson Burnett],"Frances Hodgson Burnett's enduring tale, brought to life in a new book-plus-audio edition. <br />In one of the best-loved classic tales for children, Sara Crewe is sent to England to attend Miss Minchin's boarding school for girls. Her time there starts wonderfully as she is treated just like a princess. Unfortunately it is because Miss Minchin is hoping to gain a piece of Sara's family fortune. <br />But when Sara's wealthy father dies and leaves her penniless, Miss Minchin makes Sara do the worst chores in the house. Still, as badly as Miss Minchin treats Sara, with a little help from her friends and her imagination, Sara is determined to find happiness no matter what. <br />A Little Princess is read by Royal Shakespeare actor Lucy Whybrow, with music and effects to set the mood. <br />With the included audio you can HEAR the entire book, word for word, READ ALONG with the audio, or READ the story on your own. <br />Each HEAR IT READ IT classic presents the world's greatest stories in an easy-to-read abridged format. The included audio contains a dramatic reading-with music and sound effects-that match the text, word for word, so children of all ages and reading levels can read along.",4.2,13.5,,,"{'Anger': 0.05472199745694139, 'Anticipation': 0.1625476823488614, 'Disgust': 0.033221592879435914, 'Fear': 0.10320194197202638, 'Joy': 0.28207143682811237, 'Sadness': 0.10301699225523062, 'Surprise': 0.04984394867645359, 'Trust': 0.21137440758293843}",en
364,364,9780140348101,1110905,"My Side of the Mountain (Mountain, #1)",[Jean Craighead George],"Every kid thinks about running away at one point or another; few get farther than the end of the block. Young Sam Gribley gets to the end of the block and keeps going--all the way to the Catskill Mountains of upstate New York. There he sets up house in a huge hollowed-out tree, with a falcon and a weasel for companions and his wits as his tool for survival. In a spellbinding, touching, funny account, Sam learns to live off the land, and grows up a little in the process. Blizzards, hunters, loneliness, and fear all battle to drive Sam back to city life. But his desire for freedom, independence, and adventure is stronger. No reader will be immune to the compulsion to go right out and start whittling fishhooks and befriending raccoons. <p> Jean Craighead George, author of more than 80 children's books, including the Newbery Medal-winning <i>Julie of the Wolves</i>, created another prizewinner with <i>My Side of the Mountain</i>--a Newbery Honor Book, an ALA Notable Book, and a Hans Christian Andersen Award Honor Book. Astonishingly, she wrote its sequel, <i>On the Far Side of the Mountain</i>, 30 years later, and a decade after that penned the final book in the trilogy, <i>Frightful's Mountain</i>, told from the falcon's point of view. George has no doubt shaped generations of young readers with her outdoor adventures of the mind and spirit. (Ages 9 to 12) <i>--Emilie Coulter</i></p>",4.07,13.833333333333334,,,"{'Anger': 0.04926363427168826, 'Anticipation': 0.19475339418577892, 'Disgust': 0.004487228656899592, 'Fear': 0.12042647848431387, 'Joy': 0.23651913783845976, 'Sadness': 0.10105852573444808, 'Surprise': 0.076704763365805, 'Trust': 0.2167868374626064}",en
